Rank,Country,Country Code,Year,GDP Current USD
157,New Caledonia,NCL,2024,8548919387
158,Montenegro,MNE,2024,8270016671
159,Liechtenstein,LIE,2023,8239379403
160,Barbados,BRB,2024,7498050000
161,Isle of Man,IMN,2022,7431257411
162,Cayman Islands,CYM,2023,7241244269
163,Maldives,MDV,2024,7061608267
164,Sierra Leone,SLE,2024,6971127235
165,Guam,GUM,2022,6910000000
166,French Polynesia,PYF,2024,6323716355
167,Fiji,FJI,2024,5968125909
168,Eswatini,SWZ,2024,4858885841
169,Liberia,LBR,2024,4779300900
170,Virgin Islands (U.S.),VIR,2022,4672000000
171,Suriname,SUR,2024,4416775112
172,Aruba,ABW,2024,4265650673
173,Djibouti,DJI,2024,4152145940
174,Faroe Islands,FRO,2024,4052937170
175,Andorra,AND,2024,4039842405
176,Curacao,CUW,2024,3561178196
177,Greenland,GRL,2023,3326543974
178,Belize,BLZ,2024,3203631800
179,Burundi,BDI,2024,3082433067
180,Bhutan,BTN,2023,3012896789
181,Central African Republic,CAF,2024,2751494281
182,Cabo Verde,CPV,2024,2725414151
183,St. Lucia,LCA,2024,2549062963
184,"Gambia, The",GMB,2024,2404888749
185,Lesotho,LSO,2024,2271759455
186,Guinea-Bissau,GNB,2024,2218393805
187,Antigua and Barbuda,ATG,2024,2207622874
188,Seychelles,SYC,2024,2167239562
189,Eritrea,ERI,2011,2065001626
190,San Marino,SMR,2023,2027527228
191,Timor-Leste,TLS,2024,1865608515
192,Sint Maarten (Dutch part),SXM,2024,1797836666
193,Turks and Caicos Islands,TCA,2024,1745378000
194,Solomon Islands,SLB,2024,1583964704
195,Comoros,COM,2024,1440991455
196,Grenada,GRD,2024,1371918519
197,Samoa,WSM,2024,1175749786
198,St. Vincent and the Grenadines,VCT,2024,1157207407
199,St. Kitts and Nevis,KNA,2024,1122388889
200,Vanuatu,VUT,2024,1117972034
201,Northern Mariana Islands,MNP,2022,1096000000
202,American Samoa,ASM,2022,871000000
203,Sao Tome and Principe,STP,2024,822154621
204,Dominica,DMA,2024,688881481
205,St. Martin (French part),MAF,2021,649206263
206,Tonga,TON,2023,591139749
207,"Micronesia, Fed. Sts.",FSM,2024,471425099
208,Kiribati,KIR,2024,307862564
209,Marshall Islands,MHL,2024,290108490
210,Palau,PLW,2023,276733063
211,Nauru,NRU,2024,162588621
212,Tuvalu,TUV,2023,62280312
